"id";"objectid";"point_lat";"point_lng";"obj_type";"type";"o_id";"naam";"aantal_loc";"ligging";"orientatie";"status";"shape"
"139";"47";"51.21785962520300";"4.41646188770250";"VELO";"ENKELZIJDIG";"024";"Opera";"36";" ";" ";"VEILIG";""
"142";"48";"51.19907271425000";"4.41545358080330";"VELO";"<Null>";"046";"De Merode";"36";" ";" ";"VEILIG";""
"145";"49";"51.20155129396600";"4.42357517753960";"VELO";"<Null>";"047";"Militair Hospitaal";"35";" ";" ";"VEILIG";""
"148";"50";"51.21550779607000";"4.42563836686210";"VELO";"<Null>";"119";"Ploeg";"24";" ";" ";"VEILIG";""
"151";"51";"51.22604203613400";"4.42342560318940";"VELO";"<Null>";"125";"Sint-Norbertus";"35";" ";" ";"VEILIG";""
"154";"52";"51.22287837314600";"4.40622400402100";"VELO";"<Null>";"051";"Mutsaardplein";"24";" ";" ";"VEILIG";""
"157";"53";"51.20078257680600";"4.39807744703140";"VELO";"<Null>";"041";"Van Eyck";"27";" ";" ";"VEILIG";""
"160";"54";"51.19654243579000";"4.42380449183940";"VELO";" ";"048";"<Null>";"0";" ";" ";"VEILIG";""
"163";"55";"51.19690552880400";"4.42807315200130";"VELO";"<Null>";"055";"Zonnebloemstraat";"33";" ";" ";"VEILIG";""
"166";"56";"51.21301725372100";"4.42163843776500";"VELO";"DUBBELZIJDIG";"003";"Centraal Station - Kievit 2";"40";" ";" ";"VEILIG";""
"169";"57";"51.20691982223300";"4.43013065810740";"VELO";"<Null>";"110";"Dageraadplaats";"36";" ";" ";"VEILIG";""
"172";"58";"51.19791127187300";"4.42541479447380";"VELO";"<Null>";"061";"Victor Jacobslei";"36";" ";" ";"VEILIG";""
"175";"59";"51.19553644769100";"4.41912805007720";"VELO";" ";"021";"Driekoningen";"0";" ";" ";"VEILIG";""
"178";"60";"51.19976002069600";"4.43046662327710";"VELO";"<Null>";"022";"Statie";"33";" ";" ";"VEILIG";""
"181";"61";"51.21630874248500";"4.43351645889900";"VELO";"<Null>";"030";"Het Laar";"24";" ";" ";"VEILIG";""
"184";"62";"51.21119547964800";"4.43395643499260";"VELO";"<Null>";"039";"Koxplein";"36";" ";" ";"VEILIG";""
"187";"63";"51.21602259606500";"4.43996908535890";"VELO";"<Null>";"108";"Krugerpark";"23";" ";" ";"VEILIG";""
